Entrada 01,Entrada 02,Saída
"90,5","1106,6",1077
"88,3","1104,1",1051
86,"1106,3",1011
"83,6","1105,3",965
"80,8","1105,9",923
"78,3",1107,884
"75,9","1106,3",855
"73,4","1105,4",830
"70,5","1106,1",791
"67,3","1106,3",743
"64,5","1106,1",712
"62,4","1106,4",679
"59,7","1104,3",645
"56,7","1106,6",619
54,"1107,1",596
"51,7","1105,5",578
"49,6","1104,9",559
"46,9","1106,8",534
44,"1105,3",514
41,"1105,8",486
"38,5","1105,1",469
36,"1104,5",445
"33,5","1105,3",412
31,"1106,1",381
29,1107,356
"27,1","1106,9",319
"24,8","1106,5",275
"22,1","1103,3",0
"18,6","1098,6",0
"11,8","1102,2",0
"6,5","1118,3",0
"4,2","1128,8",0
3,"1136,6",0
"2,4","1139,6",0
"1,9","1145,7",0
"1,5","1152,2",0
"1,4","1156,3",0
"1,2","1164,4",0
"1,1","1170,1",0
1,"1174,6",0
"0,9","1180,3",0
"0,8","1186,3",0
"0,8","1193,3",0
"0,7","1198,1",0
"0,7","1203,1",0
"0,6","1209,8",0
"2,8","1226,2",0
"9,9","1239,7",140
15,"1230,4",167
"17,6",1228,199
"20,3","1231,1",241
23,"1228,8",272
"25,2","1229,1",306
"27,7","1228,8",357
"30,8","1232,1",409
"34,3","1226,2",450
37,"1230,9",476
"39,7","1228,1",498
"41,8","1229,5",531
"45,5","1228,8",573
"48,4","1229,9",597
"51,5",1229,625
"54,4","1230,6",644
58,"1229,3",663
"60,2","1228,1",683
"63,1","1230,4",715
"66,1","1228,5",750
"68,9","1229,6",783
"70,9","1229,3",810
"73,8","1230,2",856
"77,2","1228,3",898
"79,5",1230,925
"81,9",1228,961
"84,9","1230,7",1014
"87,8","1228,1",1053
"90,5","1231,7",1100
94,"1226,5",1144
"96,2","1231,5",1187
"99,6",1228,1223
"102,7","1230,7",1268
"106,5","1226,1",1301
"108,9",1229,1317
112,"1230,3",1334
"115,2","1230,3",1375
"117,9","1230,3",1381
"120,9","1228,5",1416
"123,8",1229,1422
"125,4","1230,6",1449
"129,7","1228,2",1470
"133,2","1229,5",1486
"135,9","1233,4",1479
"139,3","1224,8",1519
"141,8","1231,7",1508
"145,6",1226,1552
"147,6","1233,6",1524
"150,4",1226,1546
"153,2","1230,8",1569
157,"1225,4",1594
"159,6","1230,9",1590
162,1227,1581
"163,9","1230,2",1589
"166,4","1227,2",1582
"169,4","1231,2",1594
"172,8","1227,5",1607
"176,3","1226,8",1658
"179,6","1229,9",1655
"183,1","1228,5",1677
"185,4","1230,2",1667
"188,2","1227,4",1695
"190,5",1231,1685
"194,2","1227,8",1736
"196,7","1231,6",1720
"200,4","1225,5",1744
"202,9","1231,9",1706
206,"1226,3",1697
"207,9","1230,4",1667
"211,7",1226,1683
"214,6",1233,1665
"218,1","1225,3",1678
"220,7","1232,2",1682
"222,9",1226,1670
"226,2","1228,3",1672
"229,3",1232,1628
"232,6","1227,2",1658
"234,4","1228,8",1647
"238,2","1228,1",1669
"240,9","1231,7",1643
"243,8","1227,1",1649
"246,8",1232,1622
"250,5","1224,2",1656
"254,6","1232,7",1640
"257,4","1227,9",1598
260,"1230,3",1579
"262,6",1227,1574
266,"1231,5",1578
"268,3","1227,5",1571
"271,4","1229,1",1574
"273,6",1228,1565
"277,1","1228,5",1582
"280,6","1230,2",1543
"284,4","1228,5",1538
"286,5",1230,1516
"289,6","1226,5",1530
"292,7","1232,3",1496
"297,5","1226,7",1496
"300,1","1232,2",1472
"304,2","1225,8",1486
"305,3","1233,1",1454
"307,3","1225,2",1462
307,"1233,8",1447
"306,7","1236,2",1446
"307,2","1244,8",1438
"306,4","1252,3",1434
"306,9","1255,1",1429
"306,5","1261,1",1408
"307,5","1267,8",1404
308,"1271,1",1406
"307,4","1279,5",1381
"307,3","1283,8",1371
307,"1290,5",1357
"306,2","1297,8",1347
"307,1","1301,8",1350
"307,7","1307,4",1326
"307,4","1312,9",1328
"307,6","1317,9",1317
"307,1","1325,6",1287
"306,8","1332,4",1262
306,"1338,4",1241
"305,3",1337,1235
301,"1336,3",1244
"297,7","1335,3",1262
293,"1336,5",1276
"290,7","1334,1",1303
"287,8","1336,4",1310
"285,1","1336,3",1331
"281,5","1336,4",1342
"278,5","1336,3",1362
"274,6","1337,1",1378
"271,5","1333,3",1396
"267,9","1336,8",1405
"265,1","1335,6",1411
"261,6","1335,4",1434
"259,5","1336,7",1445
"256,2","1335,3",1443
"252,5",1336,1448
"250,5","1336,4",1463
"247,3","1335,8",1477
"243,5","1336,2",1488
"240,5","1337,6",1495
"237,6","1336,8",1505
"233,8","1336,4",1511
"231,1","1336,1",1537
"228,6","1336,6",1545
"225,5","1336,7",1548
"222,3","1335,5",1560
"219,4","1336,7",1568
"217,3","1337,1",1566
"213,7","1336,6",1577
"211,1","1333,2",1598
"207,9","1336,6",1599
"205,7","1336,3",1610
"202,5","1334,8",1623
"199,7","1336,2",1627
"196,7","1336,8",1640
"194,8",1335,1636
"191,2",1336,1625
"188,3","1336,1",1632
"185,6","1336,7",1625
"182,5","1335,9",1632
"180,1","1335,2",1631
"177,6","1336,9",1621
"174,9","1336,4",1607
"172,3",1336,1595
"169,5",1336,1596
"167,4",1336,1596
"164,7","1336,6",1576
"161,6","1336,6",1557
"158,8","1335,8",1555
"156,3","1336,7",1534
"153,9","1332,2",1533
"152,3","1333,5",1522
"149,5","1337,1",1493
147,"1338,5",1468
"143,9","1335,6",1437
"140,9","1336,1",1432
"137,9","1335,5",1412
"134,5","1335,6",1390
"131,6","1335,3",1361
"128,6","1335,8",1338
"126,4","1336,4",1312
"123,2","1335,7",1286
"120,1","1336,2",1255
"117,7","1333,6",1254
"115,2","1336,6",1222
"112,6",1335,1204
110,1337,1175
107,"1335,8",1144
"104,4","1336,2",1121
"102,2","1337,1",1091
"99,2",1336,1045
"95,7","1334,6",1008
"93,1","1335,8",974
"90,4","1336,6",927
"87,2","1336,3",881
"83,5","1336,2",836
"80,9","1335,5",807
"78,8","1336,6",775
"76,3","1336,6",743
74,"1336,2",711
"71,5","1335,6",674
"68,7","1334,7",639
"66,1",1335,609
"63,4","1336,6",575
"60,9","1336,6",547
"57,9","1335,6",513
"54,7","1334,2",484
"52,1","1336,4",460
50,"1336,2",441
"47,4","1335,8",416
"44,1","1335,6",390
"41,1","1334,4",369
"38,4","1336,6",350
36,"1335,6",332
"33,5","1336,4",313
"31,3",1336,293
"28,5","1334,7",265
"25,8","1335,4",227
"23,3","1334,8",185
"18,9","1328,1",0
"11,1","1328,7",0
6,"1348,3",0
"4,1","1358,6",0
"2,9",1366,0
"2,3","1369,6",0
"1,9","1375,8",0
"1,6","1383,4",0
"1,4","1386,3",0
"1,3","1391,8",0
"1,1",1400,0
"1,1","1405,1",0
1,"1411,3",0
1,"1415,4",0
1,"1421,9",0
"0,9","1427,9",0
"0,9","1433,7",0
1,"1439,8",0
"4,8","1458,5",0
"12,7","1470,7",144
"17,2",1460,174
20,"1461,7",201
"22,7","1460,3",234
"25,3","1459,8",264
"27,8","1456,7",291
"30,7","1459,2",323
"33,7","1459,6",344
"36,6","1459,5",364
"39,5","1458,7",384
42,1457,398
44,"1460,5",413
"46,8",1459,431
"49,9","1458,7",455
"53,4","1460,1",484
"56,7","1458,9",500
"59,4","1458,8",512
62,"1459,1",536
"64,9","1459,4",558
"67,4",1460,577
"69,9","1459,7",597
"72,4","1459,8",626
"75,4","1457,1",656
"78,3","1459,9",694
"81,7","1458,1",745
"84,4","1458,5",767
"86,1","1459,8",799
"89,1","1458,9",833
"92,3","1459,2",868
"95,3","1458,2",899
"97,6","1457,4",926
"100,2",1459,969
"103,7","1459,3",998
"106,6",1459,1019
"109,2","1460,3",1035
"111,5",1458,1052
"113,4","1460,1",1078
"116,2","1459,3",1108
"119,5","1458,6",1133
"121,9","1458,1",1152
125,"1459,9",1178
"128,1",1460,1208
"130,9","1459,1",1221
"132,8","1459,7",1236
"135,6","1458,8",1254
"138,6","1458,8",1268
"142,3","1459,8",1306
"144,8",1459,1329
"147,6","1458,8",1338
"150,6","1460,1",1357
154,"1459,4",1366
"156,6","1460,2",1391
"159,3",1458,1405
"161,4","1461,9",1419
164,"1462,4",1429
"167,1","1454,9",1449
"169,2","1457,5",1464
"171,9","1459,4",1472
"174,1","1457,9",1486
177,"1459,6",1500
"180,4","1456,7",1483
"183,1","1459,8",1476
"186,1","1458,9",1484
"189,6","1459,8",1476
"192,5","1459,7",1473
"195,4","1457,7",1459
"196,9","1458,8",1449
"199,7","1458,8",1457
"202,8","1459,8",1446
"206,3","1460,1",1430
"208,8","1458,7",1423
"211,7","1459,9",1400
214,"1459,1",1392
"218,1","1457,8",1383
"220,9","1458,1",1358
"223,8","1457,9",1334
"225,6","1459,9",1330
"229,3","1457,4",1329
"232,3","1457,4",1312
"235,2","1458,9",1304
"237,6","1460,1",1299
"240,9","1457,9",1284
"243,8","1459,7",1280
"247,5","1459,1",1269
"250,1","1459,5",1269
"253,2",1459,1270
"256,4","1458,7",1252
"259,5","1460,1",1235
"262,7",1459,1220
"266,5","1459,6",1206
"269,6","1460,3",1175
"273,8","1457,4",1162
"276,5","1459,1",1140
"279,2","1459,9",1120
"283,1","1458,9",1104
288,"1458,1",1095
"291,5","1458,9",1067
"294,7","1457,6",1048
"298,5","1458,8",1033
"302,3","1458,8",1011
"306,1","1458,8",994
"307,5","1458,8",987
306,"1460,5",986
"306,2","1465,7",982
"306,1","1475,5",976
"305,4","1478,3",980
"305,1","1483,2",975
"304,7","1492,3",958
"304,8",1495,956
"303,1","1502,6",962
"302,3","1508,1",976
"302,8",1513,970
303,"1518,7",954
"301,4","1528,1",949
"300,6","1532,2",955
"301,6","1534,6",961
"299,5","1544,5",964
299,"1548,1",959
"299,6","1552,6",953
299,1562,952
"298,8","1564,4",955
"296,4","1571,3",965
"292,7","1565,6",991
"288,7","1565,2",1004
"285,1","1567,6",996
"284,3",1565,993
"281,4","1566,7",982
"277,4","1564,9",996
"273,1","1566,5",1020
"270,5","1566,1",1047
"267,5","1568,8",1058
"263,5","1566,4",1056
"259,9","1565,9",1062
"256,7",1567,1096
"253,3","1565,2",1140
"248,9","1566,8",1165
"246,1","1565,9",1151
"243,3","1565,9",1151
"240,8","1566,2",1172
"237,2",1568,1191
"233,5","1567,1",1212
"231,6","1565,5",1200
"228,7","1563,8",1212
225,"1566,7",1243
"221,7","1566,4",1279
"218,7","1566,3",1304
"216,4",1566,1326
213,"1565,9",1339
"210,2","1566,1",1354
207,1566,1369
"204,4","1565,3",1367
201,"1566,7",1374
"198,6","1565,2",1402
"195,5",1568,1401
"193,2",1565,1380
"190,1",1565,1394
"187,8","1566,1",1430
"184,9",1566,1454
"182,4","1566,1",1468
"179,5","1567,1",1456
"176,4","1564,8",1457
"173,8","1566,5",1459
"171,6","1565,9",1455
"169,1","1566,5",1440
"166,1","1564,7",1429
"163,3","1564,4",1423
160,"1566,8",1397
"157,5",1566,1397
"155,4","1566,4",1384
"152,4",1566,1356
"149,4","1566,8",1345
"146,9","1565,2",1337
"144,8","1566,2",1332
"142,7","1566,1",1321
"140,1","1566,9",1300
"137,6","1566,8",1278
"134,9","1565,5",1265
"132,5","1566,9",1259
"130,3","1566,5",1236
"127,5","1565,7",1207
"124,6","1566,3",1193
"122,8",1566,1181
"119,9",1565,1155
"116,9","1565,6",1135
"114,1",1566,1117
112,"1566,3",1099
"109,5","1565,7",1077
"107,6",1566,1061
"105,4","1565,6",1033
"102,3","1565,3",993
"99,4","1566,4",966
"97,7","1566,7",948
"95,1","1566,4",905
"92,5","1565,6",872
"90,1",1566,838
"87,1","1566,7",807
"84,7",1566,774
"82,9","1566,8",744
"80,5","1566,3",700
"77,4","1565,7",658
"74,5","1565,6",626
"72,1",1566,596
"69,9","1566,1",565
"67,3","1565,6",541
"64,7","1566,4",511
"62,3","1566,1",489
"59,9","1566,1",472
"57,4","1566,9",447
"54,9","1567,2",426
"52,7","1566,4",401
"50,1","1566,8",385
"47,6","1565,2",368
"45,1","1565,7",351
"42,3","1565,5",335
"39,6","1565,7",320
"37,2","1565,2",306
35,"1566,3",291
"32,8","1566,8",268
"30,4","1565,2",242
"27,7","1565,7",221
"25,2",1566,191
"19,9","1558,4",0
"11,2","1555,1",0
"6,1","1577,5",0
"4,2","1587,6",0
"3,1",1596,0
"2,4","1597,7",0
"1,9","1607,6",0
"1,6","1612,3",0
"1,4","1615,9",0
"1,2","1625,9",0
"1,1",1629,0
1,1634,0
"0,9","1642,8",0
"0,9",1646,0
"0,9","1651,6",0
"0,8",1658,0
"0,8","1661,1",0
"1,2","1673,4",0
"7,6","1691,1",0
"16,9","1706,1",168
"20,4","1689,3",186
"22,9","1690,8",217
"26,1","1690,5",248
"28,6",1687,265
"30,2","1685,6",279
"32,2",1686,300
"35,3",1692,330
"39,3",1690,357
"42,8","1690,2",376
"45,4","1689,4",385
"47,1","1685,1",388
"48,4","1688,2",395
"50,6","1688,3",414
54,"1687,4",442
"57,2","1691,2",478
"61,1","1688,8",499
"62,9","1685,7",501
64,"1689,5",505
"65,6","1688,5",524
"68,2","1690,6",553
"72,1","1692,4",598
"75,8","1689,8",622
"78,1","1685,7",649
"79,9",1688,663
"80,9",1687,678
"82,8",1686,717
86,"1690,2",765
89,"1690,8",797
"91,8","1690,5",827
"94,7","1689,9",857
97,"1689,3",871
"98,7","1689,2",886
"100,8","1687,4",911
"103,2","1690,2",928
"106,1","1689,6",946
"109,1","1690,5",967
"111,4","1689,8",967
"112,9","1687,7",978
"115,1","1689,4",988
"117,6","1687,8",1010
"120,8","1688,7",1033
"124,1","1690,5",1046
127,"1690,1",1058
"129,3","1687,4",1068
"131,1","1690,2",1073
"133,2","1687,7",1085
"135,2","1685,3",1096
137,1689,1118
"140,3","1687,7",1137
"143,5","1692,9",1142
"146,8","1685,6",1144
"148,5","1688,9",1156
"150,4","1692,9",1152
"152,6","1682,4",1170
"154,8","1685,5",1192
158,"1688,9",1205
"160,8","1690,1",1219
"162,9",1693,1213
"165,6","1689,3",1214
"167,6","1690,9",1216
"169,9",1686,1228
"172,4","1690,6",1240
"175,5","1688,9",1240
"178,6","1692,4",1229
"181,5","1690,2",1219
"184,5","1683,2",1218
"186,5","1687,6",1212
"189,4","1687,8",1208
"191,1","1687,8",1212
"193,5","1689,9",1214
"196,5","1688,9",1194
"200,2","1690,5",1177
"203,9","1689,7",1165
"206,3","1686,2",1155
"207,2","1690,1",1151
"210,7",1683,1146
"214,6","1686,2",1133
"217,6","1691,6",1115
"220,2","1691,7",1098
"222,9","1688,6",1099
"226,9","1686,1",1095
"229,9","1687,9",1071
"232,4","1691,7",1055
"235,5","1687,1",1058
"237,1","1689,1",1053
"239,5","1689,8",1057
"242,9","1690,6",1048
"247,3","1689,1",1025
"251,6","1688,6",1004
255,"1690,5",983
"257,6","1687,6",975
"259,9","1685,4",971
"262,5","1689,1",965
266,"1689,7",949
"270,3","1689,8",930
"274,7","1690,9",907
280,"1690,4",892
"282,8","1687,6",875
"285,6","1687,6",864
"287,2","1685,6",860
"288,3","1687,3",854
"287,6","1691,2",857
"288,1",1695,857
"286,5","1703,2",853
"286,1","1707,5",853
"284,6","1714,7",851
"283,4","1719,8",854
"283,7","1722,8",856
"282,5","1732,4",851
"281,7","1739,5",847
"281,1","1743,2",848
"280,4","1752,2",841
"280,2","1755,4",835
"280,2","1756,8",838
"278,7","1768,2",830
"278,7","1772,5",829
278,"1778,5",819
277,"1784,5",812
"276,3","1787,6",805
"275,4","1795,4",801
"272,2","1801,4",801
"269,3",1796,824
"264,6","1796,3",848
"260,4","1798,3",875
"256,6","1796,3",891
"254,2","1794,2",895
"251,2","1800,1",903
"248,5","1799,1",918
"245,6",1795,933
"242,6","1794,5",934
"239,3","1796,1",937
"236,5","1797,5",939
"234,7","1794,8",933
"231,8","1796,6",937
"228,9","1794,9",931
"225,4","1798,8",932
"222,6","1796,8",959
"219,8","1796,9",972
"216,7",1796,971
"213,9","1796,7",969
"211,1","1796,3",973
209,"1796,5",954
"206,8","1793,6",951
"203,4","1797,7",992
"199,7","1796,8",1036
"196,6","1798,7",1035
"194,6","1796,8",1034
"192,5","1795,2",1020
"189,6","1796,7",1012
"187,4","1794,4",997
"184,3","1793,2",1001
"182,2","1795,7",998
"179,9","1801,8",971
"177,4","1797,7",1005
"174,1","1797,6",1085
"170,4",1798,1138
168,"1794,6",1156
"165,6","1796,6",1163
164,"1794,1",1164
161,"1796,3",1159
"158,5","1796,3",1156
"155,6","1796,3",1161
"153,8","1795,7",1154
"151,1","1798,1",1145
"148,9","1796,1",1146
147,1794,1143
"143,9","1796,6",1132
"141,4","1796,9",1123
"139,6",1793,1119
"137,1","1796,5",1112
"134,5","1798,4",1103
"132,1","1796,4",1101
"129,5","1797,9",1089
"127,2","1795,7",1081
"124,6","1797,9",1073
"122,7",1796,1073
"120,5",1798,1059
"118,7","1793,7",1059
"116,3","1796,3",1048
"113,9","1798,4",1040
"111,5","1796,3",1035
"109,4","1799,8",1022
"107,3","1796,4",1012
"105,2","1796,3",999
103,"1794,3",982
"100,6","1796,3",959
98,"1796,2",935
"96,6","1796,9",904
94,"1795,7",872
"91,7",1794,849
"88,9","1798,5",822
87,"1799,4",794
"85,1","1795,2",771
83,1796,739
"80,9",1796,703
79,"1798,3",666
"76,9",1796,632
"74,6","1794,5",600
72,"1795,7",570
"69,7","1796,2",545
"67,6","1796,4",526
"65,7","1796,6",504
"63,5","1795,8",484
"61,5","1797,9",461
"59,3","1797,7",439
"57,4",1798,412
55,1796,388
"52,6","1794,2",367
"49,9","1796,3",349
"47,8","1796,6",335
"45,5","1796,3",322
"43,5",1796,314
"41,6","1796,6",299
"39,2","1797,6",287
"37,3","1794,5",276
